group,assigned_split,source_split,variant,classes,source_image,included,output_image
Image_20260803155117250,test,train,base,0,train/images/Image_20260803155117250.jpg,True,split_v3/test/images/Image_20260803155117250.jpg
Image_20260803155128383,train,train,base,0,train/images/Image_20260803155128383.jpg,True,split_v3/train/images/Image_20260803155128383.jpg
Image_20260803155134552,val,train,base,0,train/images/Image_20260803155134552.jpg,True,split_v3/val/images/Image_20260803155134552.jpg
Image_20260803155142534,test,train,base,1,train/images/Image_20260803155142534.jpg,True,split_v3/test/images/Image_20260803155142534.jpg
Image_20260803155148351,train,train,base,0,train/images/Image_20260803155148351.jpg,True,split_v3/train/images/Image_20260803155148351.jpg
Image_20260803155157437,train,train,base,2,train/images/Image_20260803155157437.jpg,True,split_v3/train/images/Image_20260803155157437.jpg
Image_20260803155208662,train,train,base,0,train/images/Image_20260803155208662.jpg,True,split_v3/train/images/Image_20260803155208662.jpg
Image_20260803155215483,train,val,base,"2,3",val/images/Image_20260803155215483.jpg,True,split_v3/train/images/Image_20260803155215483.jpg
Image_20260803155221382,val,test,base,0,test/images/Image_20260803155221382.jpg,True,split_v3/val/images/Image_20260803155221382.jpg
Image_20260803155229493,train,val,base,1,val/images/Image_20260803155229493.jpg,True,split_v3/train/images/Image_20260803155229493.jpg
Image_20260803155237321,train,test,base,1,test/images/Image_20260803155237321.jpg,True,split_v3/train/images/Image_20260803155237321.jpg
Image_20260803155246116,train,val,base,1,val/images/Image_20260803155246116.jpg,True,split_v3/train/images/Image_20260803155246116.jpg
Image_20260803155250968,train,val,base,"1,3",val/images/Image_20260803155250968.jpg,True,split_v3/train/images/Image_20260803155250968.jpg
Image_20260803155256893,test,val,base,2,val/images/Image_20260803155256893.jpg,True,split_v3/test/images/Image_20260803155256893.jpg
Image_20260803155302523,test,test,base,3,test/images/Image_20260803155302523.jpg,True,split_v3/test/images/Image_20260803155302523.jpg
Image_20260803155310459,train,test,base,2,test/images/Image_20260803155310459.jpg,True,split_v3/train/images/Image_20260803155310459.jpg
Image_20260803155316292,train,val,base,2,val/images/Image_20260803155316292.jpg,True,split_v3/train/images/Image_20260803155316292.jpg
Image_20260803155327007,train,test,base,"0,2",test/images/Image_20260803155327007.jpg,True,split_v3/train/images/Image_20260803155327007.jpg
Image_20260803155332380,train,test,base,2,test/images/Image_20260803155332380.jpg,True,split_v3/train/images/Image_20260803155332380.jpg
Image_20260803155338380,train,val,base,1,val/images/Image_20260803155338380.jpg,True,split_v3/train/images/Image_20260803155338380.jpg
Image_20260803155345576,train,val,base,"1,3",val/images/Image_20260803155345576.jpg,True,split_v3/train/images/Image_20260803155345576.jpg
Image_20260803155353900,train,test,base,"1,3",test/images/Image_20260803155353900.jpg,True,split_v3/train/images/Image_20260803155353900.jpg
Image_20260803155359631,train,test,base,"2,3",test/images/Image_20260803155359631.jpg,True,split_v3/train/images/Image_20260803155359631.jpg
picture_hole_000,train,train,base,0,train/images/picture_hole_000.png,True,split_v3/train/images/picture_hole_000.png
picture_hole_000,train,train,g0.6,0,train/images/picture_hole_000_g0.6.png,False,
picture_hole_000,train,train,g1.6,0,train/images/picture_hole_000_g1.6.png,False,
picture_hole_000,train,train,r180,0,train/images/picture_hole_000_r180.png,True,split_v3/train/images/picture_hole_000_r180.png
picture_hole_000,train,train,r270,0,train/images/picture_hole_000_r270.png,True,split_v3/train/images/picture_hole_000_r270.png
picture_hole_000,train,train,r90,0,train/images/picture_hole_000_r90.png,True,split_v3/train/images/picture_hole_000_r90.png
picture_hole_000__v2,train,train,base,0,train/images/picture_hole_000__v2.png,True,split_v3/train/images/picture_hole_000__v2.png
picture_hole_000__v2,train,train,g0.6,0,train/images/picture_hole_000__v2_g0.6.png,False,
picture_hole_000__v2,train,train,g1.6,0,train/images/picture_hole_000__v2_g1.6.png,False,
picture_hole_000__v2,train,train,r180,0,train/images/picture_hole_000__v2_r180.png,True,split_v3/train/images/picture_hole_000__v2_r180.png
picture_hole_000__v2,train,train,r270,0,train/images/picture_hole_000__v2_r270.png,True,split_v3/train/images/picture_hole_000__v2_r270.png
picture_hole_000__v2,train,train,r90,0,train/images/picture_hole_000__v2_r90.png,True,split_v3/train/images/picture_hole_000__v2_r90.png
picture_hole_001,train,train,base,0,train/images/picture_hole_001.png,True,split_v3/train/images/picture_hole_001.png
picture_hole_001,train,train,g0.6,0,train/images/picture_hole_001_g0.6.png,False,
picture_hole_001,train,train,g1.6,0,train/images/picture_hole_001_g1.6.png,False,
picture_hole_001,train,train,r180,0,train/images/picture_hole_001_r180.png,True,split_v3/train/images/picture_hole_001_r180.png
picture_hole_001,train,train,r270,0,train/images/picture_hole_001_r270.png,True,split_v3/train/images/picture_hole_001_r270.png
picture_hole_001,train,train,r90,0,train/images/picture_hole_001_r90.png,True,split_v3/train/images/picture_hole_001_r90.png
picture_hole_001__v2,train,train,base,0,train/images/picture_hole_001__v2.png,True,split_v3/train/images/picture_hole_001__v2.png
picture_hole_001__v2,train,train,g0.6,0,train/images/picture_hole_001__v2_g0.6.png,False,
picture_hole_001__v2,train,train,g1.6,0,train/images/picture_hole_001__v2_g1.6.png,False,
picture_hole_001__v2,train,train,r180,0,train/images/picture_hole_001__v2_r180.png,True,split_v3/train/images/picture_hole_001__v2_r180.png
picture_hole_001__v2,train,train,r270,0,train/images/picture_hole_001__v2_r270.png,True,split_v3/train/images/picture_hole_001__v2_r270.png
picture_hole_001__v2,train,train,r90,0,train/images/picture_hole_001__v2_r90.png,True,split_v3/train/images/picture_hole_001__v2_r90.png
picture_hole_002,val,train,base,0,train/images/picture_hole_002.png,True,split_v3/val/images/picture_hole_002.png
picture_hole_002,val,train,g0.6,0,train/images/picture_hole_002_g0.6.png,False,
picture_hole_002,val,train,g1.6,0,train/images/picture_hole_002_g1.6.png,False,
picture_hole_002,val,train,r180,0,train/images/picture_hole_002_r180.png,False,
picture_hole_002,val,train,r270,0,train/images/picture_hole_002_r270.png,False,
picture_hole_002,val,train,r90,0,train/images/picture_hole_002_r90.png,False,
picture_hole_002__v2,train,train,base,0,train/images/picture_hole_002__v2.png,True,split_v3/train/images/picture_hole_002__v2.png
picture_hole_002__v2,train,train,g0.6,0,train/images/picture_hole_002__v2_g0.6.png,False,
picture_hole_002__v2,train,train,g1.6,0,train/images/picture_hole_002__v2_g1.6.png,False,
picture_hole_002__v2,train,train,r180,0,train/images/picture_hole_002__v2_r180.png,True,split_v3/train/images/picture_hole_002__v2_r180.png
picture_hole_002__v2,train,train,r270,0,train/images/picture_hole_002__v2_r270.png,True,split_v3/train/images/picture_hole_002__v2_r270.png
picture_hole_002__v2,train,train,r90,0,train/images/picture_hole_002__v2_r90.png,True,split_v3/train/images/picture_hole_002__v2_r90.png
picture_hole_003,test,train,base,0,train/images/picture_hole_003.png,True,split_v3/test/images/picture_hole_003.png
picture_hole_003,test,train,g0.6,0,train/images/picture_hole_003_g0.6.png,False,
picture_hole_003,test,train,g1.6,0,train/images/picture_hole_003_g1.6.png,False,
picture_hole_003,test,train,r180,0,train/images/picture_hole_003_r180.png,False,
picture_hole_003,test,train,r270,0,train/images/picture_hole_003_r270.png,False,
picture_hole_003,test,train,r90,0,train/images/picture_hole_003_r90.png,False,
picture_hole_003,test,val,base,0,val/images/picture_hole_003.png,False,
picture_hole_004,train,train,base,0,train/images/picture_hole_004.png,True,split_v3/train/images/picture_hole_004.png
picture_hole_004,train,train,g0.6,0,train/images/picture_hole_004_g0.6.png,False,
picture_hole_004,train,train,g1.6,0,train/images/picture_hole_004_g1.6.png,False,
picture_hole_004,train,train,r180,0,train/images/picture_hole_004_r180.png,True,split_v3/train/images/picture_hole_004_r180.png
picture_hole_004,train,train,r270,0,train/images/picture_hole_004_r270.png,True,split_v3/train/images/picture_hole_004_r270.png
picture_hole_004,train,train,r90,0,train/images/picture_hole_004_r90.png,True,split_v3/train/images/picture_hole_004_r90.png
picture_hole_004__v2,val,train,base,0,train/images/picture_hole_004__v2.png,True,split_v3/val/images/picture_hole_004__v2.png
picture_hole_004__v2,val,train,g0.6,0,train/images/picture_hole_004__v2_g0.6.png,False,
picture_hole_004__v2,val,train,g1.6,0,train/images/picture_hole_004__v2_g1.6.png,False,
picture_hole_004__v2,val,train,r180,0,train/images/picture_hole_004__v2_r180.png,False,
picture_hole_004__v2,val,train,r270,0,train/images/picture_hole_004__v2_r270.png,False,
picture_hole_004__v2,val,train,r90,0,train/images/picture_hole_004__v2_r90.png,False,
picture_hole_005,train,train,base,0,train/images/picture_hole_005.png,True,split_v3/train/images/picture_hole_005.png
picture_hole_005,train,train,g0.6,0,train/images/picture_hole_005_g0.6.png,False,
picture_hole_005,train,train,g1.6,0,train/images/picture_hole_005_g1.6.png,False,
picture_hole_005,train,train,r180,0,train/images/picture_hole_005_r180.png,True,split_v3/train/images/picture_hole_005_r180.png
picture_hole_005,train,train,r270,0,train/images/picture_hole_005_r270.png,True,split_v3/train/images/picture_hole_005_r270.png
picture_hole_005,train,train,r90,0,train/images/picture_hole_005_r90.png,True,split_v3/train/images/picture_hole_005_r90.png
picture_hole_005__v2,train,train,base,0,train/images/picture_hole_005__v2.png,True,split_v3/train/images/picture_hole_005__v2.png
picture_hole_005__v2,train,train,g0.6,0,train/images/picture_hole_005__v2_g0.6.png,False,
picture_hole_005__v2,train,train,g1.6,0,train/images/picture_hole_005__v2_g1.6.png,False,
picture_hole_005__v2,train,train,r180,0,train/images/picture_hole_005__v2_r180.png,True,split_v3/train/images/picture_hole_005__v2_r180.png
picture_hole_005__v2,train,train,r270,0,train/images/picture_hole_005__v2_r270.png,True,split_v3/train/images/picture_hole_005__v2_r270.png
picture_hole_005__v2,train,train,r90,0,train/images/picture_hole_005__v2_r90.png,True,split_v3/train/images/picture_hole_005__v2_r90.png
picture_hole_006,train,test,base,0,test/images/picture_hole_006.png,True,split_v3/train/images/picture_hole_006.png
picture_hole_006,train,train,base,0,train/images/picture_hole_006.png,True,split_v3/train/images/picture_hole_006__src_train.png
picture_hole_006,train,train,g0.6,0,train/images/picture_hole_006_g0.6.png,False,
picture_hole_006,train,train,g1.6,0,train/images/picture_hole_006_g1.6.png,False,
picture_hole_006,train,train,r180,0,train/images/picture_hole_006_r180.png,True,split_v3/train/images/picture_hole_006_r180.png
picture_hole_006,train,train,r270,0,train/images/picture_hole_006_r270.png,True,split_v3/train/images/picture_hole_006_r270.png
picture_hole_006,train,train,r90,0,train/images/picture_hole_006_r90.png,True,split_v3/train/images/picture_hole_006_r90.png
picture_hole_007,train,train,base,0,train/images/picture_hole_007.png,True,split_v3/train/images/picture_hole_007.png
picture_hole_007,train,train,g0.6,0,train/images/picture_hole_007_g0.6.png,False,
picture_hole_007,train,train,g1.6,0,train/images/picture_hole_007_g1.6.png,False,
picture_hole_007,train,train,r180,0,train/images/picture_hole_007_r180.png,True,split_v3/train/images/picture_hole_007_r180.png
picture_hole_007,train,train,r270,0,train/images/picture_hole_007_r270.png,True,split_v3/train/images/picture_hole_007_r270.png
picture_hole_007,train,train,r90,0,train/images/picture_hole_007_r90.png,True,split_v3/train/images/picture_hole_007_r90.png
picture_hole_007__v2,train,train,base,0,train/images/picture_hole_007__v2.png,True,split_v3/train/images/picture_hole_007__v2.png
picture_hole_007__v2,train,train,g0.6,0,train/images/picture_hole_007__v2_g0.6.png,False,
picture_hole_007__v2,train,train,g1.6,0,train/images/picture_hole_007__v2_g1.6.png,False,
picture_hole_007__v2,train,train,r180,0,train/images/picture_hole_007__v2_r180.png,True,split_v3/train/images/picture_hole_007__v2_r180.png
picture_hole_007__v2,train,train,r270,0,train/images/picture_hole_007__v2_r270.png,True,split_v3/train/images/picture_hole_007__v2_r270.png
picture_hole_007__v2,train,train,r90,0,train/images/picture_hole_007__v2_r90.png,True,split_v3/train/images/picture_hole_007__v2_r90.png
picture_hole_008,train,train,base,0,train/images/picture_hole_008.png,True,split_v3/train/images/picture_hole_008.png
picture_hole_008,train,train,g0.6,0,train/images/picture_hole_008_g0.6.png,False,
picture_hole_008,train,train,g1.6,0,train/images/picture_hole_008_g1.6.png,False,
picture_hole_008,train,train,r180,0,train/images/picture_hole_008_r180.png,True,split_v3/train/images/picture_hole_008_r180.png
picture_hole_008,train,train,r270,0,train/images/picture_hole_008_r270.png,True,split_v3/train/images/picture_hole_008_r270.png
picture_hole_008,train,train,r90,0,train/images/picture_hole_008_r90.png,True,split_v3/train/images/picture_hole_008_r90.png
picture_hole_008__v2,train,train,base,0,train/images/picture_hole_008__v2.png,True,split_v3/train/images/picture_hole_008__v2.png
picture_hole_008__v2,train,train,g0.6,0,train/images/picture_hole_008__v2_g0.6.png,False,
picture_hole_008__v2,train,train,g1.6,0,train/images/picture_hole_008__v2_g1.6.png,False,
picture_hole_008__v2,train,train,r180,0,train/images/picture_hole_008__v2_r180.png,True,split_v3/train/images/picture_hole_008__v2_r180.png
picture_hole_008__v2,train,train,r270,0,train/images/picture_hole_008__v2_r270.png,True,split_v3/train/images/picture_hole_008__v2_r270.png
picture_hole_008__v2,train,train,r90,0,train/images/picture_hole_008__v2_r90.png,True,split_v3/train/images/picture_hole_008__v2_r90.png
picture_hole_009,train,train,base,0,train/images/picture_hole_009.png,True,split_v3/train/images/picture_hole_009.png
picture_hole_009,train,train,g0.6,0,train/images/picture_hole_009_g0.6.png,False,
picture_hole_009,train,train,g1.6,0,train/images/picture_hole_009_g1.6.png,False,
picture_hole_009,train,train,r180,0,train/images/picture_hole_009_r180.png,True,split_v3/train/images/picture_hole_009_r180.png
picture_hole_009,train,train,r270,0,train/images/picture_hole_009_r270.png,True,split_v3/train/images/picture_hole_009_r270.png
picture_hole_009,train,train,r90,0,train/images/picture_hole_009_r90.png,True,split_v3/train/images/picture_hole_009_r90.png
picture_hole_009__v2,train,train,base,0,train/images/picture_hole_009__v2.png,True,split_v3/train/images/picture_hole_009__v2.png
picture_hole_009__v2,train,train,g0.6,0,train/images/picture_hole_009__v2_g0.6.png,False,
picture_hole_009__v2,train,train,g1.6,0,train/images/picture_hole_009__v2_g1.6.png,False,
picture_hole_009__v2,train,train,r180,0,train/images/picture_hole_009__v2_r180.png,True,split_v3/train/images/picture_hole_009__v2_r180.png
picture_hole_009__v2,train,train,r270,0,train/images/picture_hole_009__v2_r270.png,True,split_v3/train/images/picture_hole_009__v2_r270.png
picture_hole_009__v2,train,train,r90,0,train/images/picture_hole_009__v2_r90.png,True,split_v3/train/images/picture_hole_009__v2_r90.png
picture_hole_010,test,train,base,0,train/images/picture_hole_010.png,True,split_v3/test/images/picture_hole_010.png
picture_hole_010,test,train,g0.6,0,train/images/picture_hole_010_g0.6.png,False,
picture_hole_010,test,train,g1.6,0,train/images/picture_hole_010_g1.6.png,False,
picture_hole_010,test,train,r180,0,train/images/picture_hole_010_r180.png,False,
picture_hole_010,test,train,r270,0,train/images/picture_hole_010_r270.png,False,
picture_hole_010,test,train,r90,0,train/images/picture_hole_010_r90.png,False,
picture_hole_010__v2,train,train,base,0,train/images/picture_hole_010__v2.png,True,split_v3/train/images/picture_hole_010__v2.png
picture_hole_010__v2,train,train,g0.6,0,train/images/picture_hole_010__v2_g0.6.png,False,
picture_hole_010__v2,train,train,g1.6,0,train/images/picture_hole_010__v2_g1.6.png,False,
picture_hole_010__v2,train,train,r180,0,train/images/picture_hole_010__v2_r180.png,True,split_v3/train/images/picture_hole_010__v2_r180.png
picture_hole_010__v2,train,train,r270,0,train/images/picture_hole_010__v2_r270.png,True,split_v3/train/images/picture_hole_010__v2_r270.png
picture_hole_010__v2,train,train,r90,0,train/images/picture_hole_010__v2_r90.png,True,split_v3/train/images/picture_hole_010__v2_r90.png
picture_hole_011,train,train,base,0,train/images/picture_hole_011.png,True,split_v3/train/images/picture_hole_011.png
picture_hole_011,train,train,g0.6,0,train/images/picture_hole_011_g0.6.png,False,
picture_hole_011,train,train,g1.6,0,train/images/picture_hole_011_g1.6.png,False,
picture_hole_011,train,train,r180,0,train/images/picture_hole_011_r180.png,True,split_v3/train/images/picture_hole_011_r180.png
picture_hole_011,train,train,r270,0,train/images/picture_hole_011_r270.png,True,split_v3/train/images/picture_hole_011_r270.png
picture_hole_011,train,train,r90,0,train/images/picture_hole_011_r90.png,True,split_v3/train/images/picture_hole_011_r90.png
picture_hole_011,train,val,base,0,val/images/picture_hole_011.png,True,split_v3/train/images/picture_hole_011__src_val.png
picture_hole_012,train,train,base,0,train/images/picture_hole_012.png,True,split_v3/train/images/picture_hole_012.png
picture_hole_012,train,train,g0.6,0,train/images/picture_hole_012_g0.6.png,False,
picture_hole_012,train,train,g1.6,0,train/images/picture_hole_012_g1.6.png,False,
picture_hole_012,train,train,r180,0,train/images/picture_hole_012_r180.png,True,split_v3/train/images/picture_hole_012_r180.png
picture_hole_012,train,train,r270,0,train/images/picture_hole_012_r270.png,True,split_v3/train/images/picture_hole_012_r270.png
picture_hole_012,train,train,r90,0,train/images/picture_hole_012_r90.png,True,split_v3/train/images/picture_hole_012_r90.png
picture_hole_012__v2,train,train,base,0,train/images/picture_hole_012__v2.png,True,split_v3/train/images/picture_hole_012__v2.png
picture_hole_012__v2,train,train,g0.6,0,train/images/picture_hole_012__v2_g0.6.png,False,
picture_hole_012__v2,train,train,g1.6,0,train/images/picture_hole_012__v2_g1.6.png,False,
picture_hole_012__v2,train,train,r180,0,train/images/picture_hole_012__v2_r180.png,True,split_v3/train/images/picture_hole_012__v2_r180.png
picture_hole_012__v2,train,train,r270,0,train/images/picture_hole_012__v2_r270.png,True,split_v3/train/images/picture_hole_012__v2_r270.png
picture_hole_012__v2,train,train,r90,0,train/images/picture_hole_012__v2_r90.png,True,split_v3/train/images/picture_hole_012__v2_r90.png
picture_hole_013,train,train,base,0,train/images/picture_hole_013.png,True,split_v3/train/images/picture_hole_013.png
picture_hole_013,train,train,g0.6,0,train/images/picture_hole_013_g0.6.png,False,
picture_hole_013,train,train,g1.6,0,train/images/picture_hole_013_g1.6.png,False,
picture_hole_013,train,train,r180,0,train/images/picture_hole_013_r180.png,True,split_v3/train/images/picture_hole_013_r180.png
picture_hole_013,train,train,r270,0,train/images/picture_hole_013_r270.png,True,split_v3/train/images/picture_hole_013_r270.png
picture_hole_013,train,train,r90,0,train/images/picture_hole_013_r90.png,True,split_v3/train/images/picture_hole_013_r90.png
picture_hole_013__v2,train,train,base,0,train/images/picture_hole_013__v2.png,True,split_v3/train/images/picture_hole_013__v2.png
picture_hole_013__v2,train,train,g0.6,0,train/images/picture_hole_013__v2_g0.6.png,False,
picture_hole_013__v2,train,train,g1.6,0,train/images/picture_hole_013__v2_g1.6.png,False,
picture_hole_013__v2,train,train,r180,0,train/images/picture_hole_013__v2_r180.png,True,split_v3/train/images/picture_hole_013__v2_r180.png
picture_hole_013__v2,train,train,r270,0,train/images/picture_hole_013__v2_r270.png,True,split_v3/train/images/picture_hole_013__v2_r270.png
picture_hole_013__v2,train,train,r90,0,train/images/picture_hole_013__v2_r90.png,True,split_v3/train/images/picture_hole_013__v2_r90.png
picture_hole_014,train,train,base,0,train/images/picture_hole_014.png,True,split_v3/train/images/picture_hole_014.png
picture_hole_014,train,train,g0.6,0,train/images/picture_hole_014_g0.6.png,False,
picture_hole_014,train,train,g1.6,0,train/images/picture_hole_014_g1.6.png,False,
picture_hole_014,train,train,r180,0,train/images/picture_hole_014_r180.png,True,split_v3/train/images/picture_hole_014_r180.png
picture_hole_014,train,train,r270,0,train/images/picture_hole_014_r270.png,True,split_v3/train/images/picture_hole_014_r270.png
picture_hole_014,train,train,r90,0,train/images/picture_hole_014_r90.png,True,split_v3/train/images/picture_hole_014_r90.png
picture_hole_014__v2,train,train,base,0,train/images/picture_hole_014__v2.png,True,split_v3/train/images/picture_hole_014__v2.png
picture_hole_014__v2,train,train,g0.6,0,train/images/picture_hole_014__v2_g0.6.png,False,
picture_hole_014__v2,train,train,g1.6,0,train/images/picture_hole_014__v2_g1.6.png,False,
picture_hole_014__v2,train,train,r180,0,train/images/picture_hole_014__v2_r180.png,True,split_v3/train/images/picture_hole_014__v2_r180.png
picture_hole_014__v2,train,train,r270,0,train/images/picture_hole_014__v2_r270.png,True,split_v3/train/images/picture_hole_014__v2_r270.png
picture_hole_014__v2,train,train,r90,0,train/images/picture_hole_014__v2_r90.png,True,split_v3/train/images/picture_hole_014__v2_r90.png
picture_hole_015,train,train,base,0,train/images/picture_hole_015.png,True,split_v3/train/images/picture_hole_015.png
picture_hole_015,train,train,g0.6,0,train/images/picture_hole_015_g0.6.png,False,
picture_hole_015,train,train,g1.6,0,train/images/picture_hole_015_g1.6.png,False,
picture_hole_015,train,train,r180,0,train/images/picture_hole_015_r180.png,True,split_v3/train/images/picture_hole_015_r180.png
